survey_date,grts_cell_id,survey_type_id,location_name,species_code,avg_count,min_count,max_count,avg_count_dead,project_name,sample_design,organization_name,geometry,grts_geometry,sample_frame,start_time,end_time,colony_type,percent_bats_with_visible_fungus,counted_by,site_identifier,site_water_present,site_elevation,site_number_openings,site_number_passages,habitat_type,site_material,site_size,site_type,site_use,project_id,year,month,day,hour,species_id,event_id,event_geometry_id,grts_id,site_habitat_type_id,site_material_id,site_size_id,site_type_id,site_use_id,organization_id
"Fri Jul 02 1965 00:00:00 GMT+0000 (Coordinated Universal Time)","13700","10","Pitt's Cave","MYAU","1.00000000000000000000","1","1",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E61000005C55F65D112C56C0BBED42739DBE3F40","0103000020E610000001000000090000009E466FDE4D2A56C03351ABC445B53F40523DE641AF2D56C0D1B450F727B63F40BEA0F4BC6C2D56C0BE2859B89DC13F40C58A0F252A2D56C071BC633913CD3F40986C87CCC72956C0098CCDCF30CC3F4046641D87652656C05E4A0CC44CCB3F406FF52D14A92656C09C38337AD7BF3F40D820068EEC2656C0C7E03DF061B43F409E466FDE4D2A56C03351ABC445B53F40","Conus (Continental US) 10x10km Grid","Sat Jul 03 1965 00:00:00 GMT+0000 (Coordinated Universal Time)","Sat Jul 03 1965 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""R.M. Norton""}","Pitt's Cave","true",,"2","5",,,"medium","cave","hibernacula","474","1965","7","3","0","25","100527","318285","33179",,,"2","2","1","66"
"Thu Aug 04 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","41083","10","Tripoli Chalk Mine","MYGR","4.0000000000000000","4","4",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E61000007E5704FF5B0756C0C7293A92CB6F4140","0103000020E61000000100000009000000C367FCFB300956C038B78F63D568414059F612D7B40C56C0C9CDD9E84D694140E88DA7C16A0C56C06192B38F016F41402A814996200C56C0BEC7C023B5744140208B71B29B0856C05899A07D3C74414074ADBCE4160556C011FD36FFC2734140C7FBF818620556C0ABA2258C0F6E4140675CF536AD0556C0C08335065C684140C367FCFB300956C038B78F63D5684140","Conus (Continental US) 10x10km Grid","Fri Aug 05 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","Fri Aug 05 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""Richard K. Laval""}","Tripoli Chalk Mine","false",,"1","1",,"chalk","medium","mine","hibernacula","474","1966","8","5","0","29","100599","318210","49386",,"23","2","1","1","66"
"Thu Aug 04 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","41083","10","Tripoli Chalk Mine","MYSE","1.00000000000000000000","1","1",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E61000007E5704FF5B0756C0C7293A92CB6F4140","0103000020E61000000100000009000000C367FCFB300956C038B78F63D568414059F612D7B40C56C0C9CDD9E84D694140E88DA7C16A0C56C06192B38F016F41402A814996200C56C0BEC7C023B5744140208B71B29B0856C05899A07D3C74414074ADBCE4160556C011FD36FFC2734140C7FBF818620556C0ABA2258C0F6E4140675CF536AD0556C0C08335065C684140C367FCFB300956C038B78F63D5684140","Conus (Continental US) 10x10km Grid","Fri Aug 05 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","Fri Aug 05 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""Richard K. Laval""}","Tripoli Chalk Mine","false",,"1","1",,"chalk","medium","mine","hibernacula","474","1966","8","5","0","33","100599","318210","49386",,"23","2","1","1","66"
"Thu Aug 04 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","41083","10","Tripoli Chalk Mine","PESU","3.0000000000000000","3","3",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E61000007E5704FF5B0756C0C7293A92CB6F4140","0103000020E61000000100000009000000C367FCFB300956C038B78F63D568414059F612D7B40C56C0C9CDD9E84D694140E88DA7C16A0C56C06192B38F016F41402A814996200C56C0BEC7C023B5744140208B71B29B0856C05899A07D3C74414074ADBCE4160556C011FD36FFC2734140C7FBF818620556C0ABA2258C0F6E4140675CF536AD0556C0C08335065C684140C367FCFB300956C038B78F63D5684140","Conus (Continental US) 10x10km Grid","Fri Aug 05 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","Fri Aug 05 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""Richard K. Laval""}","Tripoli Chalk Mine","false",,"1","1",,"chalk","medium","mine","hibernacula","474","1966","8","5","0","43","100599","318210","49386",,"23","2","1","1","66"
"Sat Aug 06 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","41083","10","Tishomingo County","PESU","2.0000000000000000","2","2",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E61000007E5704FF5B0756C0C7293A92CB6F4140","0103000020E61000000100000009000000C367FCFB300956C038B78F63D568414059F612D7B40C56C0C9CDD9E84D694140E88DA7C16A0C56C06192B38F016F41402A814996200C56C0BEC7C023B5744140208B71B29B0856C05899A07D3C74414074ADBCE4160556C011FD36FFC2734140C7FBF818620556C0ABA2258C0F6E4140675CF536AD0556C0C08335065C684140C367FCFB300956C038B78F63D5684140","Conus (Continental US) 10x10km Grid","Sun Aug 07 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","Sun Aug 07 1966 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""R.K. LaVal""}","Tishomingo County",,,,,,,,,"summer roost","474","1966","8","7","0","43","100605","318443","49386",,,,,"6","66"
"Tue Jun 09 1970 00:00:00 GMT+0000 (Coordinated Universal Time)","94582","10","Woodville","PESU","2.0000000000000000","2","2",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E6100000D0B8702024D356C00A850838841A3F40","0103000020E61000000100000009000000F6501A5EA0D656C0BB95F9FFE00A3F40B4B7F630FCD956C07B86FF2E700B3F400C44F791D2D956C00AD409E7EE163F4089D52FE7A8D956C09480D55A6D223F40C89F87214CD656C0C22AD609DE213F400DA1CE67EFD256C05FAE49184D213F40E4FD7E051AD356C078C0B1C6CE153F40C406239744D356C01745C830500A3F40F6501A5EA0D656C0BB95F9FFE00A3F40","Conus (Continental US) 10x10km Grid","Wed Jun 10 1970 00:00:00 GMT+0000 (Coordinated Universal Time)","Wed Jun 10 1970 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""C.J. Jones""}","Woodville",,,,,,,,,"summer roost","474","1970","6","10","0","43","100465","318422","28987",,,,,"6","66"
"Wed Jun 10 1970 00:00:00 GMT+0000 (Coordinated Universal Time)","94582","10","Woodville","PESU","4.0000000000000000","4","4",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E6100000D0B8702024D356C00A850838841A3F40","0103000020E61000000100000009000000F6501A5EA0D656C0BB95F9FFE00A3F40B4B7F630FCD956C07B86FF2E700B3F400C44F791D2D956C00AD409E7EE163F4089D52FE7A8D956C09480D55A6D223F40C89F87214CD656C0C22AD609DE213F400DA1CE67EFD256C05FAE49184D213F40E4FD7E051AD356C078C0B1C6CE153F40C406239744D356C01745C830500A3F40F6501A5EA0D656C0BB95F9FFE00A3F40","Conus (Continental US) 10x10km Grid","Thu Jun 11 1970 00:00:00 GMT+0000 (Coordinated Universal Time)","Thu Jun 11 1970 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""C.J. Jones""}","Woodville",,,,,,,,,"summer roost","474","1970","6","11","0","43","100466","318422","28987",,,,,"6","66"
"Mon Aug 16 1976 00:00:00 GMT+0000 (Coordinated Universal Time)","41083","10","Tripoli Chalk Mine","PESU","1.00000000000000000000","1","1",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E61000007E5704FF5B0756C0C7293A92CB6F4140","0103000020E61000000100000009000000C367FCFB300956C038B78F63D568414059F612D7B40C56C0C9CDD9E84D694140E88DA7C16A0C56C06192B38F016F41402A814996200C56C0BEC7C023B5744140208B71B29B0856C05899A07D3C74414074ADBCE4160556C011FD36FFC2734140C7FBF818620556C0ABA2258C0F6E4140675CF536AD0556C0C08335065C684140C367FCFB300956C038B78F63D5684140","Conus (Continental US) 10x10km Grid","Tue Aug 17 1976 00:00:00 GMT+0000 (Coordinated Universal Time)","Tue Aug 17 1976 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""Donald O. Straney""}","Tripoli Chalk Mine","false",,"1","1",,"chalk","medium","mine","hibernacula","474","1976","8","17","0","43","100626","318210","49386",,"23","2","1","1","66"
"Sat Aug 04 1979 00:00:00 GMT+0000 (Coordinated Universal Time)","41083","10","Tripoli Chalk Mine","MYSE","1.00000000000000000000","1","1",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E61000007E5704FF5B0756C0C7293A92CB6F4140","0103000020E61000000100000009000000C367FCFB300956C038B78F63D568414059F612D7B40C56C0C9CDD9E84D694140E88DA7C16A0C56C06192B38F016F41402A814996200C56C0BEC7C023B5744140208B71B29B0856C05899A07D3C74414074ADBCE4160556C011FD36FFC2734140C7FBF818620556C0ABA2258C0F6E4140675CF536AD0556C0C08335065C684140C367FCFB300956C038B78F63D5684140","Conus (Continental US) 10x10km Grid","Sun Aug 05 1979 00:00:00 GMT+0000 (Coordinated Universal Time)","Sun Aug 05 1979 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""C.H. Carter""}","Tripoli Chalk Mine","false",,"1","1",,"chalk","medium","mine","hibernacula","474","1979","8","5","0","33","100600","318210","49386",,"23","2","1","1","66"
"Sun Aug 05 1979 00:00:00 GMT+0000 (Coordinated Universal Time)","41083","10","Tripoli Chalk Mine","LABO","1.00000000000000000000","1","1",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E61000007E5704FF5B0756C0C7293A92CB6F4140","0103000020E61000000100000009000000C367FCFB300956C038B78F63D568414059F612D7B40C56C0C9CDD9E84D694140E88DA7C16A0C56C06192B38F016F41402A814996200C56C0BEC7C023B5744140208B71B29B0856C05899A07D3C74414074ADBCE4160556C011FD36FFC2734140C7FBF818620556C0ABA2258C0F6E4140675CF536AD0556C0C08335065C684140C367FCFB300956C038B78F63D5684140","Conus (Continental US) 10x10km Grid","Mon Aug 06 1979 00:00:00 GMT+0000 (Coordinated Universal Time)","Mon Aug 06 1979 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""C.H. Carter""}","Tripoli Chalk Mine","false",,"1","1",,"chalk","medium","mine","hibernacula","474","1979","8","6","0","13","100604","318210","49386",,"23","2","1","1","66"
